Name,Lowercase,Grade,Type,Refinement 1,Refinement 2,Refinement 3,Refinement 4,Refinement 5,Base ATK 1,Substat 1,Base ATK 5,Substat 5,Base ATK 10,Substat 10,Base ATK 15,Substat 15,Base ATK 20,Substat 20,Base ATK 20+,Substat 20+,Base ATK 25,Substat 25,Base ATK 30,Substat 30,Base ATK 35,Substat 35,Base ATK 40,Substat 40,Base ATK 40+,Substat 40+,Base ATK 45,Substat 45,Base ATK 50,Substat 50,Base ATK 50+,Substat 50+,Base ATK 55,Substat 55,Base ATK 60,Substat 60,Base ATK 60+,Substat 60+,Base ATK 65,Substat 65,Base ATK 70,Substat 70,Base ATK 70+,Substat 70+,Base ATK 75,Substat 75,Base ATK 80,Substat 80,Base ATK 80+,Substat 80+,Base ATK 85,Substat 85,Base ATK 90,Substat 90,Substat
Freedom-Sworn,freedom-sworn,5,sword,"Revolutionary Chorale: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases DMG by 10%. When the character wielding this weapon triggers Elemental Reactions, they gain a Sigil of Rebellion. This effect can be triggered once every 0.5s and can be triggered even if said character is not on the field. When you possess 2 Sigils of Rebellion, all of them will be consumed and all nearby party members will obtain ""Millennial Movement: Song of Resistance"" for 12s. ""Millennial Movement: Song of Resistance"" increases Normal, Charged and Plunging Attack DMG by 16% and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Rebellion for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.","Revolutionary Chorale: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases DMG by 12.5%. When the character wielding this weapon triggers Elemental Reactions, they gain a Sigil of Rebellion. This effect can be triggered once every 0.5s and can be triggered even if said character is not on the field. When you possess 2 Sigils of Rebellion, all of them will be consumed and all nearby party members will obtain ""Millennial Movement: Song of Resistance"" for 12s. ""Millennial Movement: Song of Resistance"" increases Normal, Charged and Plunging Attack DMG by 20% and increases ATK by 25%. Once this effect is triggered, you will not gain Sigils of Rebellion for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.","Revolutionary Chorale: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases DMG by 15%. When the character wielding this weapon triggers Elemental Reactions, they gain a Sigil of Rebellion. This effect can be triggered once every 0.5s and can be triggered even if said character is not on the field. When you possess 2 Sigils of Rebellion, all of them will be consumed and all nearby party members will obtain ""Millennial Movement: Song of Resistance"" for 12s. ""Millennial Movement: Song of Resistance"" increases Normal, Charged and Plunging Attack DMG by 24% and increases ATK by 30%. Once this effect is triggered, you will not gain Sigils of Rebellion for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.","Revolutionary Chorale: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases DMG by 17.5%. When the character wielding this weapon triggers Elemental Reactions, they gain a Sigil of Rebellion. This effect can be triggered once every 0.5s and can be triggered even if said character is not on the field. When you possess 2 Sigils of Rebellion, all of them will be consumed and all nearby party members will obtain ""Millennial Movement: Song of Resistance"" for 12s. ""Millennial Movement: Song of Resistance"" increases Normal, Charged and Plunging Attack DMG by 28% and increases ATK by 35%. Once this effect is triggered, you will not gain Sigils of Rebellion for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.","Revolutionary Chorale: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases DMG by 20%. When the character wielding this weapon triggers Elemental Reactions, they gain a Sigil of Rebellion. This effect can be triggered once every 0.5s and can be triggered even if said character is not on the field. When you possess 2 Sigils of Rebellion, all of them will be consumed and all nearby party members will obtain ""Millennial Movement: Song of Resistance"" for 12s. ""Millennial Movement: Song of Resistance"" increases Normal, Charged and Plunging Attack DMG by 32% and increases ATK by 40%. Once this effect is triggered, you will not gain Sigils of Rebellion for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.",46,43.0,62,50.0,82,59.0,102,68.0,122,76.0,153,76.0,173,85.0,194,94.0,214,103.0,235,111.0,266,111.0,287,120.0,308,129.0,340,129.0,361,137.0,382,146.0,414,146.0,435,155.0,457,164.0,488,164.0,510,172.0,532,181.0,563,181.0,586,190.0,608,198.0,Elemental Mastery
Mistsplitter Reforged,mistsplitter reforged,5,sword,"Mistsplitter's Edge: Gain a 12% Elemental DMG Bonus for all element and receive the might of the Mistsplitter's Emblem. At stack levels 1/2/3, the Mistsplitter's Emblem provides a 8/16/28% Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Mistsplitter's Edge: Gain a 15% Elemental DMG Bonus for all element and receive the might of the Mistsplitter's Emblem. At stack levels 1/2/3, the Mistsplitter's Emblem provides a 10/20/35% Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Mistsplitter's Edge: Gain a 18% Elemental DMG Bonus for all element and receive the might of the Mistsplitter's Emblem. At stack levels 1/2/3, the Mistsplitter's Emblem provides a 12/24/42% Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Mistsplitter's Edge: Gain a 21% Elemental DMG Bonus for all element and receive the might of the Mistsplitter's Emblem. At stack levels 1/2/3, the Mistsplitter's Emblem provides a 14/28/49% Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Mistsplitter's Edge: Gain a 24% Elemental DMG Bonus for all element and receive the might of the Mistsplitter's Emblem. At stack levels 1/2/3, the Mistsplitter's Emblem provides a 16/32/56% Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of the Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.",48,9.6,65,11.2,87,13.1,110,15.0,133,17.0,164,17.0,188,18.9,212,20.8,236,22.8,261,24.7,292,24.7,316,26.7,341,28.6,373,28.6,398,30.5,423,32.5,455,32.5,480,34.4,506,36.3,537,36.3,563,38.3,590,40.2,621,40.2,648,42.2,674,44.1,CRIT DMG
Waster Greatsword,waster greatsword,1,claymore,No Passive,No Passive,No Passive,No Passive,No Passive,23,0.0,30,0.0,39,0.0,48,0.0,56,0.0,68,0.0,76,0.0,85,0.0,93,0.0,102,0.0,113,0.0,121,0.0,130,0.0,141,0.0,149,0.0,158,0.0,169,0.0,177,0.0,185,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,none
Old Merc's Pal,old merc's pal,2,claymore,No Passive,No Passive,No Passive,No Passive,No Passive,33,0.0,43,0.0,55,0.0,68,0.0,80,0.0,91,0.0,103,0.0,115,0.0,127,0.0,139,0.0,151,0.0,162,0.0,174,0.0,186,0.0,197,0.0,209,0.0,220,0.0,232,0.0,243,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,none
Bloodtainted Greatsword,bloodtainted greatsword,3,claymore,Bane of Fire and Thunder: Increases DMG dealt against opponents affected by Pyro or Electro by 12%.,Bane of Fire and Thunder: Increases DMG dealt against opponents affected by Pyro or Electro by 15%.,Bane of Fire and Thunder: Increases DMG dealt against opponents affected by Pyro or Electro by 18%.,Bane of Fire and Thunder: Increases DMG dealt against opponents affected by Pyro or Electro by 21%.,Bane of Fire and Thunder: Increases DMG against opponents affected by Pyro or Electro by 24%.,38,41.0,48,47.0,61,56.0,73,64.0,86,72.0,105,72.0,117,80.0,129,89.0,140,97.0,151,105.0,171,105.0,182,113.0,193,122.0,212,122.0,223,130.0,234,138.0,253,138.0,264,146.0,274,154.0,294,154.0,304,163.0,314,171.0,334,171.0,344,179.0,354,187.0,Elemental Mastery
Debate Club,debate club,3,claymore,"Blunt Conclusion: After using an Elemental Skill, on hit, Normal and Charged Attacks deal additional DMG equal to 60% of ATK in a small AoE. Effect lasts 15s. DMG can only occur once every 3s.","Blunt Conclusion: After using an Elemental Skill, on hit, Normal and Charged Attacks deal additional DMG equal to 75% of ATK in a small AoE. Effect lasts 15s. DMG can only occur once every 3s.","Blunt Conclusion: After using an Elemental Skill, on hit, Normal and Charged Attacks deal additional DMG equal to 90% of ATK in a small AoE. Effect lasts 15s. DMG can only occur once every 3s.","Blunt Conclusion: After using an Elemental Skill, on hit, Normal and Charged Attacks deal additional DMG equal to 105% of ATK in a small AoE. Effect lasts 15s. DMG can only occur once every 3s.","Blunt Conclusion: After using an Elemental Skill, on hit, Normal and Charged Attacks deal additional DMG equal to 120% of ATK in a small AoE. Effect lasts 15s. DMG can only occur once every 3s.",39,7.7,50,8.9,65,10.4,79,12.0,94,13.5,113,13.5,127,15.1,141,16.6,155,18.2,169,19.7,189,19.7,202,21.3,216,22.8,236,22.8,249,24.4,263,25.9,282,25.9,296,27.5,309,29.0,329,29.0,342,30.5,355,32.1,375,32.1,388,33.6,401,35.2,ATK%
Ferrous Shadow,ferrous shadow,3,claymore,"Unbending: When HP falls below 70%, increases Charged Attack DMG by 30% and Charged Attacks become harder to interrupt.","Unbending: When HP falls below 75%, increases Charged Attack DMG by 35% and Charged Attacks become harder to interrupt.","Unbending: When HP falls below 80%, increases Charged Attack DMG by 40% and Charged Attacks become harder to interrupt.","Unbending: When HP falls below 85%, increases Charged Attack DMG by 45% and Charged Attacks become harder to interrupt.","Unbending: When HP falls below 90%, increases Charged Attack DMG by 50% and Charged Attacks become harder to interrupt.",39,7.7,50,8.9,65,10.4,79,12.0,94,13.5,113,13.5,127,15.1,141,16.6,155,18.2,169,19.7,189,19.7,202,21.3,216,22.8,236,22.8,249,24.4,263,25.9,282,25.9,296,27.5,309,29.0,329,29.0,342,30.5,355,32.1,375,32.1,388,33.6,401,35.2,HP%
Skyrider Greatsword,skyrider greatsword,3,claymore,"Courage: On hit, Normal or Charged Attacks increase ATK by 6% for 6s. Max 4 stacks. Can occur once every 0.5s.","Courage: On hit, Normal or Charged Attacks increase ATK by 7% for 6s. Max 4 stacks. Can occur once every 0.5s.","Courage: On hit, Normal or Charged Attacks increase ATK by 8% for 6s. Max 4 stacks. Can occur once every 0.5s.","Courage: On hit, Normal or Charged Attacks increase ATK by 9% for 6s. Max 4 stacks. Can occur once every 0.5s.","Courage: On hit, Normal or Charged Attacks increase ATK by 10% for 6s. Max 4 stacks. Can occur once every 0.5s.",39,9.6,50,11.1,65,13.0,79,15.0,94,16.9,113,16.9,127,18.8,141,20.8,155,22.7,169,24.6,189,24.6,202,26.5,216,28.5,236,28.5,249,30.4,263,32.3,282,32.3,296,34.3,309,36.2,329,36.2,342,38.1,355,40.1,375,40.1,388,42.0,401,43.9,Physical DMG Bonus
White Iron Greatsword,white iron greatsword,3,claymore,Cull the Weak: Defeating an opponent restores 8% HP.,Cull the Weak: Defeating an opponent restores 10% HP.,Cull the Weak: Defeating an opponent restores 12% HP.,Cull the Weak: Defeating an opponent restores 14% HP.,Cull the Weak: Defeating an opponent restores 16% HP.,39,9.6,50,11.1,65,13.0,79,15.0,94,16.9,113,16.9,127,18.8,141,20.8,155,22.7,169,24.6,189,24.6,202,26.5,216,28.5,236,28.5,249,30.4,263,32.3,282,32.3,296,34.3,309,36.2,329,36.2,342,38.1,355,40.1,375,40.1,388,42.0,401,43.9,DEF%
Blackcliff Slasher,blackcliff slasher,4,claymore,"Press the Advantage: After defeating an opponent, ATK is increased by 12% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an opponent, ATK is increased by 15% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an enemy, ATK is increased by 18% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an enemy, ATK is increased by 21% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an enemy, ATK is increased by 24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.",42,12.0,56,13.9,74,16.4,91,18.8,109,21.2,135,21.2,152,23.6,170,26.1,187,28.5,205,30.9,231,30.9,248,33.3,266,35.7,292,35.7,309,38.2,327,40.6,353,40.6,370,43.0,388,45.4,414,45.4,431,47.9,449,50.3,475,50.3,492,52.7,510,55.1,CRIT DMG
Favonius Greatsword,favonius greatsword,4,claymore,"Windfall: CRIT Hits have a 60% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12s.","Windfall: CRIT Hits have a 70% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 10.5s.","Windfall: CRIT Hits have a 80% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 9s.","Windfall: CRIT Hits have a 90% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 7.5s.","Windfall: CRIT Hits have a 100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 6s.",41,13.3,54,15.5,69,18.2,84,20.9,99,23.6,125,23.6,140,26.3,155,28.9,169,31.6,184,34.3,210,34.3,224,37.0,238,39.7,264,39.7,278,42.4,293,45.1,319,45.1,333,47.8,347,50.5,373,50.5,387,53.2,401,55.9,427,55.9,440,58.6,454,61.3,Energy Recharge
Lithic Blade,lithic blade,4,claymore,"Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 7% ATK increase and a 3% CRIT Rate increase. This effect stacks up to 4 times.","Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 8% ATK increase and a 4% CRIT Rate increase. This effect stacks up to 4 times.","Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 9% ATK increase and a 5% CRIT Rate increase. This effect stacks up to 4 times.","Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 10% ATK increase and a 6% CRIT Rate increase. This effect stacks up to 4 times.","Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 11% ATK increase and a 7% CRIT Rate increase. This effect stacks up to 4 times.",42,9.0,56,10.5,74,12.3,91,14.1,109,15.9,135,15.9,152,17.7,170,19.5,187,21.4,205,23.2,231,23.2,248,25.0,266,26.8,292,26.8,309,28.6,327,30.4,353,30.4,370,32.3,388,34.1,414,34.1,431,35.9,449,37.7,475,37.7,492,39.5,510,41.3,ATK%
Prototype Archaic,prototype archaic,4,claymore,"Crush: On hit, Normal or Charged Attacks have a 50% chance to deal an additional 240% ATK DMG to opponents within a small AoE. Can only occur once every 15s.","Crush: On hit, Normal or Charged Attacks have a 50% chance to deal an additional 300% ATK DMG to opponents within a small AoE. Can only occur once every 15s.","Crush: On hit, Normal or Charged Attacks have a 50% chance to deal an additional 360% ATK DMG to opponents within a small AoE. Can only occur once every 15s.","Crush: On hit, Normal or Charged Attacks have a 50% chance to deal an additional 420% ATK DMG to opponents within a small AoE. Can only occur once every 15s.","Crush: On hit, Normal or Charged Attacks have a 50% chance to deal an additional 480% ATK DMG to opponents within a small AoE. Can only occur once every 15s.",44,6.0,59,7.0,79,8.2,99,9.4,119,10.6,144,10.6,165,11.8,185,13.0,205,14.2,226,15.5,252,15.5,273,16.7,293,17.9,319,17.9,340,19.1,361,20.3,387,20.3,408,21.5,429,22.7,455,22.7,476,23.9,497,25.1,523,25.1,544,26.4,565,27.6,ATK%
Rainslasher,rainslasher,4,claymore,Bane of Storm and Tide: Increases DMG against opponents affected by Hydro or Electro by 20%.,Bane of Storm and Tide: Increases DMG against opponents affected by Hydro or Electro by 24%.,Bane of Storm and Tide: Increases DMG against opponents affected by Hydro or Electro by 28%.,Bane of Storm and Tide: Increases DMG against opponents affected by Hydro or Electro by 32%.,Bane of Storm and Tide: Increases DMG against opponents affected by Hydro or Electro by 36%.,42,36.0,56,42.0,74,49.0,91,56.0,109,64.0,135,64.0,152,71.0,170,78.0,187,85.0,205,93.0,231,93.0,248,100.0,266,107.0,292,107.0,309,115.0,327,122.0,353,122.0,370,129.0,388,136.0,414,136.0,431,144.0,449,151.0,475,151.0,492,158.0,510,165.0,Elemental Mastery
Royal Greatsword,royal greatsword,4,claymore,"Focus: Upon damaging an opponent, increases CRIT Rate by 8%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 10%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 12%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 14%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 16%. Max 5 stacks. A CRIT Hit removes all stacks.",44,6.0,59,7.0,79,8.2,99,9.4,119,10.6,144,10.6,165,11.8,185,13.0,205,14.2,226,15.5,252,15.5,273,16.7,293,17.9,319,17.9,340,19.1,361,20.3,387,20.3,408,21.5,429,22.7,455,22.7,476,23.9,497,25.1,523,25.1,544,26.4,565,27.6,ATK%
Serpent Spine,serpent spine,4,claymore,"Wavesplitter: Every 4s a character is on the field, they will deal 6% more DMG and take 3% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be reduced by 1 stack when the character takes DMG.","Wavesplitter: Every 4s a character is on the field, they will deal 7% more DMG and take 2.7% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be reduced by 1 stack when the character takes DMG.","Wavesplitter: Every 4s a character is on the field, they will deal 8% more DMG and take 2.4% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be reduced by 1 stack when the character takes DMG.","Wavesplitter: Every 4s a character is on the field, they will deal 9% more DMG and take 2.2% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be reduced by 1 stack when the character takes DMG.","Wavesplitter: Every 4s a character is on the field, they will deal 10% more DMG and take 2% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be reduced by 1 stack when the character takes DMG.",42,6.0,56,7.0,74,8.2,91,9.4,109,10.6,135,10.6,152,11.8,170,13.0,187,14.2,205,15.5,231,15.5,248,16.7,266,17.9,292,17.9,309,19.1,327,20.3,353,20.3,370,21.5,388,22.7,414,22.7,431,23.9,449,25.1,475,25.1,492,26.4,510,27.6,CRIT Rate
The Bell,the bell,4,claymore,"Rebellious Guardian: Taking DMG generates a shield which absorbs DMG up to 20% of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by a shield, the character gains 12% increased DMG.","Rebellious Guardian: Taking DMG generates a shield which absorbs DMG up to 23% of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by a shield, the character gains 15% increased DMG.","Rebellious Guardian: Taking DMG generates a shield which absorbs DMG up to 26% of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by a shield, the character gains 18% increased DMG.","Rebellious Guardian: Taking DMG generates a shield which absorbs DMG up to 29% of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by a shield, the character gains 21% increased DMG.","Rebellious Guardian: Taking DMG generates a shield which absorbs DMG up to 32% of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by a shield, the character gains 24% increased DMG.",42,9.0,56,10.5,74,12.3,91,14.1,109,15.9,135,15.9,152,17.7,170,19.5,187,21.4,205,23.2,231,23.2,248,25.0,266,26.8,292,26.8,309,28.6,327,30.4,353,30.4,370,32.3,388,34.1,414,34.1,431,35.9,449,37.7,475,37.7,492,39.5,510,41.3,HP%
Whiteblind,whiteblind,4,claymore,"Infusion Blade: On hit, Normal or Charged Attacks increase ATK and DEF by 6% for 6s. Max 4 stacks. This effect can only occur once every 0.5s.","Infusion Blade: On hit, Normal or Charged Attacks increase ATK and DEF by 7.5% for 6s. Max 4 stacks. This effect can only occur once every 0.5s.","Infusion Blade: On hit, Normal or Charged Attacks increase ATK and DEF by 9% for 6s. Max 4 stacks. This effect can only occur once every 0.5s.","Infusion Blade: On hit, Normal or Charged Attacks increase ATK and DEF by 10.5% for 6s. Max 4 stacks. This effect can only occur once every 0.5s.","Infusion Blade: On hit, Normal or Charged Attacks increase ATK and DEF by 12% for 6s. Max 4 stacks. This effect can only occur once every 0.5s.",42,11.3,56,13.1,74,15.3,91,17.6,109,19.9,135,19.9,152,22.2,170,24.4,187,26.7,205,29.0,231,29.0,248,31.3,266,33.5,292,33.5,309,35.8,327,38.1,353,38.1,370,40.4,388,42.6,414,42.6,431,44.9,449,47.2,475,47.2,492,49.5,510,51.7,DEF%
Sacrificial Greatsword,sacrificial greatsword,4,claymore,"Composed: After damaging an opponent with an Elemental Skill, the skill has a 40% chance to end its own CD. Can only occur once every 30s.","Composed: After damaging an opponent with an Elemental Skill, the skill has a 50% chance to end its own CD. Can only occur once every 26s.","Composed: After damaging an opponent with an Elemental Skill, the skill has a 60% chance to end its own CD. Can only occur once every 22s.","Composed: After damaging an opponent with an Elemental Skill, the skill has a 70% chance to end its own CD. Can only occur once every 19s.","Composed: After damaging an opponent with an Elemental Skill, the skill has a 80% chance to end its own CD. Can only occur once every 16s.",44,6.7,59,7.7,79,9.1,99,10.4,119,11.8,144,11.8,165,13.1,185,14.5,205,15.8,226,17.2,252,17.2,273,18.5,293,19.9,319,19.9,340,21.2,361,22.6,387,22.6,408,23.9,429,25.2,455,25.2,476,26.6,497,27.9,523,27.9,544,29.3,565,30.6,Energy Recharge
Snow-Tombed Starsilver,snow-tombed starsilver,4,claymore,"Frost Burial: Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 80% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 200% of ATK. Can only occur once every 10s.","Frost Burial: Hitting an opponent with Normal and Charged Attacks has a 70% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 95% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 240% of ATK. Can only occur once every 10s.","Frost Burial: Hitting an opponent with Normal and Charged Attacks has an 80% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 110% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 280% of ATK. Can only occur once every 10s.","Frost Burial: Hitting an opponent with Normal and Charged Attacks has a 90% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 125% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 320% of ATK. Can only occur once every 10s.","Frost Burial: Hitting an opponent with Normal and Charged Attacks has a 100% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 140% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 360% of ATK. Can only occur once every 10s.",44,7.5,59,8.7,79,10.2,99,11.7,119,13.3,144,13.3,165,14.8,185,16.3,205,17.8,226,19.3,252,19.3,273,20.8,293,22.4,319,22.4,340,23.9,361,25.4,387,25.4,408,26.9,429,28.4,455,28.4,476,29.9,497,31.5,523,31.5,544,33.0,565,34.5,Physical DMG Bonus
Katsuragikiri Nagamasa,katsuragikiri nagamasa,4,claymore,"Samurai Conduct: Increases Elemental Skill DMG by 6%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Samurai Conduct: Increases Elemental Skill DMG by 7.5%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3.5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Samurai Conduct: Increases Elemental Skill DMG by 9%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 4 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Samurai Conduct: Increases Elemental Skill DMG by 10.5%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 4.5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Samurai Conduct: Increases Elemental Skill DMG by 12%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.",42,10.0,56,11.6,74,13.6,91,15.7,109,17.7,135,17.7,152,19.7,170,21.7,187,23.7,205,25.8,231,25.8,248,27.8,266,29.8,292,29.8,309,31.8,327,33.8,353,33.8,370,35.9,388,37.9,414,37.9,431,39.9,449,41.9,475,41.9,492,43.9,510,45.9,Energy Recharge
Skyward Pride,skyward pride,5,claymore,"Sky-ripping Dragon Spine: Increases all DMG by 8%. After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 80% of ATK as DMG to opponents along its path. Lasts for 20s or 8 vacuum blades.","Sky-ripping Dragon Spine: Increases all DMG by 10%. After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 100% of ATK as DMG to opponents along its path. Lasts for 20s or 8 vacuum blades.","Sky-ripping Dragon Spine: Increases all DMG by 12%. After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 120% of ATK as DMG to opponents along its path. Lasts for 20s or 8 vacuum blades.","Sky-ripping Dragon Spine: Increases all DMG by 14%. After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 140% of ATK as DMG to opponents along its path. Lasts for 20s or 8 vacuum blades.","Sky-ripping Dragon Spine: Increases all DMG by 16%. After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 160% of ATK as DMG to opponents along its path. Lasts for 20s or 8 vacuum blades.",48,8.0,65,9.3,87,10.9,110,12.5,133,14.1,164,14.1,188,15.8,212,17.4,236,19.0,261,20.6,292,20.6,316,22.2,341,23.8,373,23.8,398,25.4,423,27.1,455,27.1,480,28.7,506,30.3,537,30.3,563,31.9,590,33.5,621,33.5,648,35.1,674,36.8,Energy Recharge
Wolf's Gravestone,wolf's gravestone,5,claymore,"Wolfish Tracker: Increases ATK by 20%. On hit, attacks against opponents with less than 30% HP increase all party members' ATK by 40% for 12s. Can only occur once every 30s.","Wolfish Tracker: Increases ATK by 25%. On hit, attacks against opponents with less than 30% HP increase all party members' ATK by 50% for 12s. Can only occur once every 30s.","Wolfish Tracker: Increases ATK by 30%. On hit, attacks against opponents with less than 30% HP increase all party members' ATK by 60% for 12s. Can only occur once every 30s.","Wolfish Tracker: Increases ATK by 35%. On hit, attacks against opponents with less than 30% HP increase all party members' ATK by 70% for 12s. Can only occur once every 30s.","Wolfish Tracker: Increases ATK by 40%. On hit, attacks against opponents with less than 30% HP increase all party members' ATK by 80% for 12s. Can only occur once every 30s.",46,10.8,62,12.5,82,14.7,102,16.9,122,19.1,153,19.1,173,21.3,194,23.4,214,25.6,235,27.8,266,27.8,287,30.0,308,32.2,340,32.2,361,34.4,382,36.5,414,36.5,435,38.7,457,40.9,488,40.9,510,43.1,532,45.3,563,45.3,586,47.4,608,49.6,ATK%
